latitude,longitude,label
-35.44526736666667,-63.736072533333335,3
-35.288776599999998,-60.684349100000006,2
-34.728499549999995,-61.239322299999998,2
-33.865360299999999,-65.184631300000007,1
-34.307030449999999,-63.293853999999996,2
-33.384666449999997,-63.505764049999996,2
-34.00482075,-63.923970300000001,2
-38.759877019999998,-62.440538779999997,5
-34.939138450000002,-64.30917740000001,2
-35.180621999999993,-63.187886399999996,3
-36.00206395,-61.934325200000004,4
-37.042342300000001,-64.559849999999997,3
-36.646788600000001,-60.647311199999997,4
-37.4559517,-61.930725099999997,1
-40.810748750000002,-62.993404949999999,2
